reltime,datetime,sdnn,rmssd
28.827,2024/06/05 13:46:47.2329,29.914950611461705,26.756616544802892
28.86,2024/06/05 13:46:47.2659,29.914950611461705,26.756616544802892
29.106,2024/06/05 13:46:47.5119,29.914950611461705,26.756616544802892
29.319,2024/06/05 13:46:47.7249,29.914950611461705,26.756616544802892
29.352,2024/06/05 13:46:47.7579,29.914950611461705,26.756616544802892
29.599,2024/06/05 13:46:48.0049,29.914950611461705,26.756616544802892
29.845,2024/06/05 13:46:48.2509,29.914950611461705,26.756616544802892
30.058,2024/06/05 13:46:48.4639,29.914950611461705,26.756616544802892
30.092,2024/06/05 13:46:48.4979,29.914950611461705,26.756616544802892
30.338,2024/06/05 13:46:48.7439,29.914950611461705,26.756616544802892
30.55,2024/06/05 13:46:48.9559,29.914950611461705,26.756616544802892
