reltime,datetime,sdnn,rmssd
23.428,2024/06/13 13:46:57.8639,35.201880827494406,42.12718837045739
25.152,2024/06/13 13:46:59.5879,34.30364747202652,42.08562700020044
25.644,2024/06/13 13:47:00.0799,33.150371437388074,42.0872110424691
26.053,2024/06/13 13:47:00.4889,31.611143095688657,42.21532107343652
26.136,2024/06/13 13:47:00.5719,31.14225794455292,42.199131112697884
26.3,2024/06/13 13:47:00.7359,29.777894292675544,42.29026680770254
27.122,2024/06/13 13:47:01.5579,29.855206134497625,41.68492933103442
27.614,2024/06/13 13:47:02.0499,28.2815077066434,40.979669756274674
28.107,2024/06/13 13:47:02.5429,28.283966458414213,39.77645869942002
28.599,2024/06/13 13:47:03.0349,28.11429873042291,39.68248984123854
29.009,2024/06/13 13:47:03.4449,27.96598919623887,39.761790704142086
29.255,2024/06/13 13:47:03.6909,27.143721358638576,38.116488120846945
29.338,2024/06/13 13:47:03.7739,26.03437162189891,38.202094183434504
29.501,2024/06/13 13:47:03.9369,25.84222687105702,36.46093800219627
29.831,2024/06/13 13:47:04.2669,24.67771576083212,34.792240514229604
30.815,2024/06/13 13:47:05.2509,24.15574465836252,32.218007387174026
31.308,2024/06/13 13:47:05.7439,23.34114811662677,32.22162834701768
31.555,2024/06/13 13:47:05.9909,22.343710061454797,32.25419869309007
32.047,2024/06/13 13:47:06.4829,21.710847969166057,32.34707611722168
32.211,2024/06/13 13:47:06.6469,21.24647367631093,32.3403772396056
32.456,2024/06/13 13:47:06.8919,20.095433231996275,30.084325930069742
32.703,2024/06/13 13:47:07.1389,18.721461039360303,30.084325930069742
33.032,2024/06/13 13:47:07.4679,18.682341530372504,27.884882403672904
33.524,2024/06/13 13:47:07.9599,17.238056001552266,25.40800398824486
35.249,2024/06/13 13:47:09.6849,17.848951158857307,24.840826609971472
35.412,2024/06/13 13:47:09.8479,17.79012382607653,25.35875917048519
35.658,2024/06/13 13:47:10.0939,15.93986544312204,23.658684099783176
35.741,2024/06/13 13:47:10.1769,14.19895576539325,23.93881088664737
35.905,2024/06/13 13:47:10.3409,13.877998795745766,21.59629597870894
36.726,2024/06/13 13:47:11.1619,11.390659613770806,18.719864671875523
37.218,2024/06/13 13:47:11.6539,11.18542771213763,15.047701928644564
37.712,2024/06/13 13:47:12.1479,12.201422566393113,15.294879317383755
38.204,2024/06/13 13:47:12.6399,13.605272811519502,15.343836982102403
38.943,2024/06/13 13:47:13.3789,15.056063810680222,14.997777613144333
39.106,2024/06/13 13:47:13.5419,14.878086949079787,16.195678435928517
39.845,2024/06/13 13:47:14.2809,14.841073790813727,15.77867759562463
39.927,2024/06/13 13:47:14.3629,15.432500411972391,16.375795146088837
40.091,2024/06/13 13:47:14.5269,15.456278715271301,17.170711497586037
40.174,2024/06/13 13:47:14.6099,15.910092221064266,17.813852287849848
40.338,2024/06/13 13:47:14.7739,15.937701993311244,18.434568976065954
40.584,2024/06/13 13:47:15.0199,15.583258036575469,18.262894987743135
40.829,2024/06/13 13:47:15.2649,15.19607481079189,18.262894987743135
40.913,2024/06/13 13:47:15.3489,15.598261028923972,18.48512915832616
